mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
28.66610312461853,0.5475903105587862,1.427164872487386,0.17244623860345193,0.8,0.1,3,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.8}",0.8366247881509807,0.8405002686834776,0.8389324085488145,0.8386858217944243,0.0015917372291558399,14
16.636970678965252,0.6523339230457552,1.4931973616282146,0.2509470093714141,0.8,0.1,3,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 1.0}",0.8362285949647819,0.8406200521150333,0.8368790850850035,0.8379092440549396,0.0019351390308585835,15
32.24834966659546,0.12385865021516262,0.5867828528086344,0.054268298320985904,0.8,0.1,6,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'subsample': 0.8}",0.9042150955759156,0.8960246200641708,0.8754076478672969,0.8918824545024612,0.012119829826271258,8
20.185489892959595,0.19762332511063563,3.064088821411133,0.09473467266267038,0.8,0.1,6,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'subsample': 1.0}",0.9040754891343934,0.8958702321510921,0.880867690368733,0.8936044705514061,0.00960904912419556,6
29.554263830184937,1.4106349923959125,1.1774369875590007,0.23213251729176762,0.8,0.3,3,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 3, 'subsample': 0.8}",0.8973233228628427,0.894403933592927,0.8659447996559417,0.8858906853705705,0.014154138997318013,10
15.768828550974527,1.0715806981944223,0.9986162185668945,0.1031150172967937,0.8,0.3,3,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 3, 'subsample': 1.0}",0.8915271972530362,0.8834736834564534,0.8662348473208776,0.8804119093434558,0.01055008963032881,12
27.165701468785603,5.440767082086499,1.2413322925567627,1.0153529233442662,0.8,0.3,6,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 6, 'subsample': 0.8}",0.9056907362024027,0.903154910905915,0.8985439582844419,0.9024632017975867,0.0029583728376785688,3
15.790164868036905,0.4896992777508946,0.6571635405222574,0.026477320556111104,0.8,0.3,6,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 6, 'subsample': 1.0}",0.9055263335444168,0.8974490494705369,0.8986466813074693,0.9005406881074743,0.003559126842488889,4
15.283633947372437,1.6446813817171837,0.24624077479044595,0.04323145787312597,1.0,0.1,3,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.8}",0.8368138943453802,0.8414746481554238,0.8392321514046182,0.8391735646351407,0.001903195703131507,13
9.060491641362509,2.1686292995892984,0.2534542878468831,0.029827516366785215,1.0,0.1,3,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 1.0}",0.8365388359687833,0.8307416503636282,0.8347553927143205,0.8340119596822441,0.0024243706729845244,16
7.439189672470093,0.6719615268130951,0.3442354202270508,0.008613576608255371,1.0,0.1,6,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'subsample': 0.8}",0.9045565104346941,0.8955287679398503,0.8814007401211988,0.8938286728319144,0.009529433954328296,5
4.532112121582031,0.3165376279503662,0.36173256238301593,0.01514758254638468,1.0,0.1,6,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'subsample': 1.0}",0.9043395129548737,0.8953260231381681,0.8758100967763802,0.891825210956474,0.011907243210753267,9
4.890219370524089,0.22335165936743703,0.19028806686401367,0.016428778529399043,1.0,0.3,3,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 3, 'subsample': 0.8}",0.9036663397436795,0.8944062609816795,0.8809185291631906,0.8929970432961832,0.009340062184492763,7
3.400087038675944,0.08124425560110274,0.19545880953470865,0.0033024206837108786,1.0,0.3,3,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 3, 'subsample': 1.0}",0.8918375784388977,0.893819127080773,0.8663572193443339,0.8840046416213347,0.012504806236593538,11
5.175758918126424,0.11301429579649738,0.40270376205444336,0.0027654662012658346,1.0,0.3,6,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 6, 'subsample': 0.8}",0.9057407892801075,0.9032909124645107,0.8984689934604227,0.9025002317350136,0.0030208868038811114,2
3.2465128898620605,0.10688942881602438,0.3515237172444661,0.006046526605398079,1.0,0.3,6,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 6, 'subsample': 1.0}",0.9058175076418208,0.903095599186672,0.8987870221659806,0.9025667096648244,0.002894445784744755,1
